电影名称,评分,类型,制片国家/地区,时间,票房
过年好,5.4,喜剧,中国大陆,2016年2月1日,5306万
快手枪手快枪手,5.3,喜剧 / 动作,中国大陆,2016年7月15日,5235万
鲁滨逊漂流记 Robinson Crusoe,5.7,喜剧 / 动画 / 冒险,比利时/法国,2016年10月4日,4919万
寄生兽 寄生獣,7.4,剧情 / 动作 / 科幻 / 恐怖,日本,2016年9月2日,4791万
奔爱,4.0,剧情 / 爱情,中国大陆,2016年2月14日,4740万
我们的十年,6.0,剧情 / 爱情,中国大陆,2016年9月2日,4367万
冰河追凶,5.8,动作 / 犯罪 / 悬疑,中国大陆,2016年4月15日,4308万
真相禁区,4.5,犯罪 / 悬疑,中国大陆,2016年1月22日,4186万
摇滚藏獒,6.9,动画 / 音乐,中国大陆/美国/中国香港,2016年7月8日,3804万
圣斗士星矢：圣域传说 聖闘士星矢 Legend of Sanctuary,6.4,动画,日本,2016年2月26日,3782万
垫底辣妹 ビリギャル,8.3,剧情 / 家庭,日本,2016年4月14日,3748万
我最好朋友的婚礼,4.4,喜剧 / 爱情,中国大陆/美国,2016年8月5日,3717万
冲天火,3.5,动作 / 悬疑,中国大陆,2016年11月25日,3604万
我的战争,5.1,剧情 / 历史 / 战争,中国大陆,2016年9月15日,3592万
天亮之前,5.9,爱情,中国大陆/中国香港/中国台湾,2016年7月22日,3569万
幻体：续命游戏 Self/less,6.5,科幻 / 悬疑 / 惊悚,美国,2016年5月12日,3547万
末日迷踪 Left Behind,4.3,动作 / 科幻 / 惊悚,美国/加拿大,2016年2月26日,3500万
蒸发太平洋 Lost in the Pacific,3.2,剧情 / 科幻 / 冒险,中国大陆/美国,2016年1月29日,3481万
通灵神探 Solace,6.5,科幻 / 犯罪 / 悬疑 / 惊悚,美国,2016年1月14日,3466万
那年夏天你去了哪里,4.7,悬疑,中国大陆/中国香港,2016年12月30日,3432万
我的新野蛮女友 엽기적인 그녀 2,3.8,喜剧 / 爱情,韩国/中国大陆,2016年4月22日,3414万
夜孔雀,4.9,剧情 / 爱情,中国大陆/法国,2016年5月20日,3309万
大唐玄奘,5.4,历史,中国大陆,2016年4月29日,3277万
年兽大作战,6.0,喜剧 / 动画 / 奇幻,中国大陆,2016年2月8日,3254万
勇士,5.2,动作 / 历史 / 战争,中国大陆,2016年10月14日,3194万
名侦探柯南：纯黑的恶梦 名探偵コナン 純黒の悪夢,6.1,动画 / 悬疑,日本,2016年11月25日,3097万
刑警兄弟 神獸巴打,5.4,喜剧 / 动作,中国香港/中国大陆,2016年4月22日,3025万
火海凌云 Экипаж,7.7,剧情 / 动作 / 冒险 / 灾难,俄罗斯,2016年8月19日,3024万
间谍同盟 Allied,7.0,剧情 / 动作 / 爱情 / 战争 / 惊悚,英国/美国,2016年11月30日,3014万
谍影特工 The November Man,6.5,动作 / 惊悚,美国/英国,2016年3月4日,2934万
那件疯狂的小事叫爱情,4.1,喜剧 / 爱情,中国大陆,2016年8月12日,2867万
